Source Port,Destination Port,NAT Source Port,NAT Destination Port,Action,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received
38474,28678,45201,28678,allow,1806,1806,0,22,224.0,22,0
55130,53,9076,53,allow,216,110,106,2,31.0,1,1
53875,443,27415,443,allow,499,425,74,4,1.0,3,1
49296,443,32357,443,allow,50454,5259,45195,52,105.0,17,35
52410,443,38111,443,allow,128802,48896,79906,237,24.0,121,116
51725,56205,0,0,deny,62,62,0,1,0.0,1,0
51393,443,1567,443,allow,4721,2724,1997,35,130.0,19,16
64396,53,1161,53,allow,211,102,109,2,30.0,1,1
34373,28678,41304,28678,allow,1806,1806,0,22,224.0,22,0
49462,445,0,0,drop,66,66,0,1,0.0,1,0
51221,51413,63036,51413,allow,459,149,310,2,1200.0,1,1
60432,443,46333,443,allow,4355,2135,2220,15,136.0,7,8
56290,53,40983,53,allow,716,95,621,2,31.0,1,1
10006,64147,0,0,deny,62,62,0,1,0.0,1,0
49825,53,31559,53,allow,168,86,82,2,29.0,1,1
65428,53,61145,53,allow,195,102,93,2,30.0,1,1
51008,80,51008,80,allow,114613,6365,108248,134,26.0,51,83
63002,22114,0,0,deny,66,66,0,1,0.0,1,0
57413,443,19121,443,allow,16749,7614,9135,74,17.0,34,40
50791,53,50791,53,allow,231,90,141,2,30.0,1,1
35005,53,35005,53,allow,233,90,143,2,33.0,1,1
6666,3389,0,0,deny,60,60,0,1,0.0,1,0
45414,80,30413,80,allow,2873,753,2120,12,15.0,7,5
63078,53,5697,53,allow,304,86,218,2,30.0,1,1
55417,53,4838,53,allow,199,102,97,2,30.0,1,1
53577,445,0,0,drop,66,66,0,1,0.0,1,0
44884,443,19838,443,allow,36435,28844,7591,65,396.0,35,30
63980,443,5737,443,allow,5237,2844,2393,14,135.0,7,7
60959,443,46440,443,allow,17149,2543,14606,40,46.0,22,18
24504,37965,0,0,deny,62,62,0,1,0.0,1,0
55018,53,31411,53,allow,174,89,85,2,30.0,1,1
53110,8830,57205,8830,allow,70,70,0,1,5.0,1,0
64872,53,21895,53,allow,166,86,80,2,31.0,1,1
58638,5900,0,0,deny,62,62,0,1,0.0,1,0
35797,443,35797,443,allow,4378,1471,2907,19,27.0,11,8
51104,13011,33495,13011,allow,948,473,475,13,15.0,7,6
60196,80,43098,80,allow,70,70,0,2,8.0,2,0
17408,8497,0,0,deny,148,148,0,1,0.0,1,0
27005,27015,45770,27015,allow,874,126,748,2,30.0,1,1
56409,443,57180,443,allow,25302,1733,23569,35,121.0,16,19
56951,53,51481,53,allow,250,86,164,4,31.0,2,2
48219,55442,0,0,deny,66,66,0,1,0.0,1,0
38672,443,23620,443,allow,4478,1133,3345,13,35.0,8,5
36414,80,15964,80,allow,5046,4132,914,31,15.0,16,15
55337,53,41001,53,allow,198,102,96,2,29.0,1,1
56656,445,0,0,drop,66,66,0,1,0.0,1,0
64992,53,64992,53,allow,180,82,98,2,30.0,1,1
55545,53,22001,53,allow,177,94,83,2,30.0,1,1
37965,8999,11644,8999,allow,402,132,270,6,1208.0,3,3
53567,64147,0,0,deny,66,66,0,1,0.0,1,0
53125,443,2099,443,allow,7738,2230,5508,24,45.0,14,10
61417,80,18297,80,allow,214,140,74,4,55.0,3,1
41972,5222,18449,5222,allow,5709,2977,2732,62,621.0,31,31
60260,22114,0,0,deny,62,62,0,1,0.0,1,0
61066,53,0,0,allow,283,78,205,2,29.0,1,1
46726,53,27470,53,allow,168,78,90,2,30.0,1,1
49790,53,34832,53,allow,195,102,93,2,30.0,1,1
55386,445,0,0,drop,70,70,0,1,0.0,1,0
51453,80,39611,80,allow,214,140,74,4,15.0,3,1
52070,80,56531,80,allow,3572,2746,826,14,15.0,8,6
44032,161,0,0,allow,4491,2143,2348,24,30.0,12,12
33215,37965,0,0,deny,62,62,0,1,0.0,1,0
64947,53,23514,53,allow,275,96,179,4,41.0,2,2
7968,53,7968,53,allow,407,261,146,3,32.0,2,1
55388,53,60267,53,allow,170,87,83,2,31.0,1,1
48016,57470,0,0,deny,62,62,0,1,0.0,1,0
55826,53,22161,53,allow,168,86,82,2,30.0,1,1
59930,80,22245,80,allow,1638,1324,314,10,15.0,5,5
63914,32805,62469,32805,allow,66,66,0,2,8.0,2,0
55553,37965,0,0,deny,66,66,0,1,0.0,1,0
60393,443,31011,443,allow,8049,1805,6244,23,81.0,12,11
44014,53,29782,53,allow,199,94,105,2,30.0,1,1
49707,53,6726,53,allow,733,85,648,2,31.0,1,1
54955,445,0,0,drop,70,70,0,1,0.0,1,0
50913,80,46319,80,allow,12767608,157856,12609752,11936,135.0,2227,9709
27005,27027,61298,27027,allow,880,126,754,2,31.0,1,1
49632,443,26348,443,allow,3618,961,2657,13,121.0,6,7
3978,35440,0,0,deny,62,62,0,1,0.0,1,0
64899,53,5067,53,allow,199,102,97,2,31.0,1,1
57150,53,36180,53,allow,177,94,83,2,30.0,1,1
37148,53,21111,53,allow,164,78,86,2,30.0,1,1
64067,445,0,0,drop,70,70,0,1,0.0,1,0
51770,37237,29637,37237,allow,316,136,180,6,6.0,3,3
36533,443,27150,443,allow,10488,4495,5993,38,32.0,20,18
50130,53,58704,53,allow,183,94,89,2,29.0,1,1
54011,44847,0,0,deny,66,66,0,1,0.0,1,0
60412,80,59747,80,allow,958,543,415,11,315.0,6,5
59595,80,6644,80,allow,1052,612,440,10,15.0,5,5
64081,59517,43134,59517,allow,504,382,122,8,16.0,6,2
50297,445,0,0,drop,66,66,0,1,0.0,1,0
50479,80,2241,80,allow,312,192,120,6,25.0,4,2
53263,443,15903,443,allow,14269,5761,8508,43,18.0,23,20
59983,443,26904,443,allow,296863,14073,282790,351,127.0,130,221
58638,5900,0,0,deny,62,62,0,1,0.0,1,0
49991,80,45821,80,allow,2668,543,2125,12,28.0,6,6
52200,42430,1127,42430,allow,70,70,0,1,5.0,1,0
50057,80,26007,80,allow,1570,754,816,10,16.0,6,4
53366,445,0,0,drop,66,66,0,1,0.0,1,0
57409,443,54706,443,allow,1054,567,487,10,15.0,6,4
52145,36670,58227,36670,allow,316,136,180,6,6.0,3,3
50584,8569,42866,8569,allow,1356,300,1056,6,1200.0,3,3
7048,25174,0,0,deny,62,62,0,1,0.0,1,0
55030,53,38017,53,allow,185,102,83,2,30.0,1,1
37965,44056,39211,44056,allow,158,158,0,1,1199.0,1,0
34430,80,5069,80,allow,2913,633,2280,15,15.0,8,7
13525,51505,0,0,deny,62,62,0,1,0.0,1,0
53399,53,53399,53,allow,414,268,146,3,32.0,2,1
59792,80,59792,80,allow,33435,1694,31741,43,20.0,18,25
51987,80,37675,80,allow,2175,1532,643,10,22.0,7,3
46662,36237,0,0,deny,62,62,0,1,0.0,1,0
49160,6889,21794,6889,allow,311,311,0,3,1200.0,3,0
64595,53,64819,53,allow,166,85,81,2,31.0,1,1
53741,43800,53441,43800,allow,70,70,0,2,7.0,2,0
53575,445,0,0,drop,66,66,0,1,0.0,1,0
49506,53,12143,53,allow,200,102,98,2,30.0,1,1
53662,55043,16806,55043,allow,320,140,180,6,6.0,3,3
23414,53,23414,53,allow,197,90,107,2,30.0,1,1
9504,25174,0,0,deny,146,146,0,1,0.0,1,0
55159,53,25315,53,allow,199,102,97,2,29.0,1,1
56762,53,10998,53,allow,168,86,82,2,30.0,1,1
19520,7000,19520,7000,allow,4579,2182,2397,16,17.0,9,7
50396,445,0,0,drop,70,70,0,1,0.0,1,0
49520,53,55540,53,allow,229,102,127,2,30.0,1,1
56941,53,32595,53,allow,212,102,110,2,30.0,1,1
57910,443,61063,443,allow,1853,1214,639,18,156.0,11,7
27505,25174,0,0,deny,62,62,0,1,0.0,1,0
63707,28423,64677,28423,allow,564,382,182,9,16.0,6,3
44409,53,42084,53,allow,199,94,105,2,30.0,1,1
55824,53,60939,53,allow,819,102,717,2,30.0,1,1
55289,445,0,0,drop,66,66,0,1,0.0,1,0
57323,53,27696,53,allow,194,102,92,2,30.0,1,1
34964,80,34964,80,allow,2889,1482,1407,10,15.0,6,4
5588,5588,0,0,allow,3354,1792,1562,46,193.0,23,23
12531,22114,0,0,deny,62,62,0,1,0.0,1,0
61740,443,6060,443,allow,92202,65396,26806,193,3454.0,68,125
49418,27001,19678,27001,allow,274,78,196,2,31.0,1,1
5588,5588,0,0,allow,3498,1872,1626,48,193.0,24,24
20389,64147,0,0,deny,62,62,0,1,0.0,1,0
55680,23711,32600,23711,allow,70,70,0,1,5.0,1,0
60590,443,17721,443,allow,41114,1554,39560,49,120.0,18,31
49838,53,62523,53,allow,866,221,645,6,56.0,3,3
9836,22114,0,0,deny,62,62,0,1,0.0,1,0
55026,53,50435,53,allow,177,94,83,2,30.0,1,1
53668,50678,24375,50678,allow,70,70,0,2,7.0,2,0
65503,443,44158,443,allow,429890,12640,417250,442,16.0,155,287
62810,445,0,0,drop,70,70,0,1,0.0,1,0
56783,53,24430,53,allow,199,102,97,2,31.0,1,1
65298,53,31126,53,allow,277,110,167,2,30.0,1,1
64985,53,50795,53,allow,412,97,315,4,58.0,2,2
42981,44847,0,0,deny,62,62,0,1,0.0,1,0
65123,53,3182,53,allow,193,102,91,2,29.0,1,1
51295,443,51295,443,allow,4334,1427,2907,19,27.0,11,8
56856,47715,33664,47715,allow,70,70,0,2,8.0,2,0
59501,445,0,0,drop,70,70,0,1,0.0,1,0
64746,53,10441,53,allow,260,86,174,2,30.0,1,1
10006,80,62598,80,allow,1142,636,506,10,45.0,6,4
55545,3389,55545,3389,allow,3527,1638,1889,18,18.0,11,7
1480,12447,0,0,deny,62,62,0,1,0.0,1,0
56368,53,19580,53,allow,711,87,624,2,30.0,1,1
56307,53,64603,53,allow,168,78,90,2,30.0,1,1
49688,53,10693,53,allow,782,110,672,2,30.0,1,1
25532,35440,0,0,deny,146,146,0,1,0.0,1,0
51270,443,53083,443,allow,190,70,120,4,15.0,2,2
57408,53,58813,53,allow,190,97,93,2,30.0,1,1
53191,443,21271,443,allow,7694,3364,4330,21,123.0,11,10
51308,445,0,0,drop,70,70,0,1,0.0,1,0
47905,443,5382,443,allow,172,172,0,2,5.0,2,0
55548,53,43983,53,allow,197,102,95,2,33.0,1,1
57176,53,30899,53,allow,172,88,84,2,30.0,1,1
62097,57470,0,0,deny,146,146,0,1,0.0,1,0
56523,443,56096,443,allow,28479,3138,25341,42,42.0,17,25
56310,53,55159,53,allow,760,97,663,2,31.0,1,1
65229,53,28081,53,allow,195,102,93,2,30.0,1,1
12465,11392,0,0,deny,62,62,0,1,0.0,1,0
46452,53,46452,53,allow,247,98,149,2,32.0,1,1
49407,53,35774,53,allow,774,101,673,2,30.0,1,1
58867,443,37875,443,allow,16230,11127,5103,69,330.0,34,35
50735,445,0,0,drop,66,66,0,1,0.0,1,0
49418,27015,42779,27015,allow,227,71,156,2,30.0,1,1
57334,53,14690,53,allow,210,110,100,2,30.0,1,1
56385,53,62602,53,allow,402,142,260,2,30.0,1,1
52989,445,0,0,drop,70,70,0,1,0.0,1,0
49396,80,45610,80,allow,13738839,196158,13542681,11272,248.0,2231,9041
33571,443,51011,443,allow,4281,1160,3121,12,122.0,6,6
65204,443,43176,443,allow,1786,172,1614,7,120.0,3,4
515,10214,0,0,deny,62,62,0,1,0.0,1,0
54506,443,29033,443,allow,89702,83941,5761,91,181.0,66,25
49995,53,57379,53,allow,197,102,95,2,30.0,1,1
52100,80,3260,80,allow,30068,3203,26865,43,35.0,19,24
42981,44847,0,0,deny,62,62,0,1,0.0,1,0
64941,53,51178,53,allow,216,94,122,2,30.0,1,1
23157,53,23157,53,allow,228,90,138,2,30.0,1,1
50460,443,36423,443,allow,5572,4252,1320,18,34.0,11,7
17320,14914,0,0,deny,148,148,0,1,0.0,1,0
52120,42751,45034,42751,allow,70,70,0,1,5.0,1,0
33022,443,32074,443,allow,162,102,60,2,5.0,1,1
65080,53,25627,53,allow,209,110,99,2,30.0,1,1
54947,445,0,0,drop,70,70,0,1,0.0,1,0
51727,1024,33037,1024,allow,70,70,0,2,8.0,2,0
51410,443,1294,443,allow,619870,220857,399013,1045,123.0,531,514
49782,443,62911,443,allow,70,70,0,1,5.0,1,0
3875,25174,0,0,deny,62,62,0,1,0.0,1,0
55138,53,34113,53,allow,165,86,79,2,30.0,1,1
37650,443,41900,443,allow,6898,5202,1696,25,25.0,15,10
11761,443,11761,443,allow,5626,2487,3139,23,29.0,14,9
7288,25174,0,0,deny,66,66,0,1,0.0,1,0
52780,443,29664,443,allow,122,62,60,2,15.0,1,1
64885,53,51711,53,allow,212,102,110,2,31.0,1,1
51940,80,37296,80,allow,366,240,126,7,27.0,5,2
45007,22114,0,0,deny,146,146,0,1,0.0,1,0
53784,16671,49140,16671,allow,70,70,0,2,7.0,2,0
50209,53,40978,53,allow,86,86,0,1,30.0,1,0
64124,53,27285,53,allow,294,93,201,4,42.0,2,2
55667,19667,52444,19667,allow,70,70,0,2,8.0,2,0
51231,443,1331,443,allow,1396,735,661,14,80.0,8,6
9442,443,1324,443,allow,6100,777,5323,17,25.0,9,8
38562,443,22999,443,allow,1310,649,661,13,185.0,7,6
27005,27019,51161,27019,allow,1698,126,1572,4,31.0,2,2
51919,10298,22024,10298,allow,70,70,0,2,8.0,2,0
27005,27016,44876,27016,allow,887,126,761,2,30.0,1,1
51525,445,0,0,drop,70,70,0,1,0.0,1,0
34767,443,6327,443,allow,6313,1368,4945,21,846.0,11,10
64985,53,37843,53,allow,194,102,92,2,30.0,1,1
43086,443,19069,443,allow,6496,2026,4470,20,16.0,12,8
61221,35440,0,0,deny,66,66,0,1,0.0,1,0
53943,40534,14905,40534,allow,320,140,180,6,5.0,3,3
60591,53,64106,53,allow,78,78,0,1,29.0,1,0
55324,445,0,0,drop,70,70,0,1,0.0,1,0
56411,53,39978,53,allow,184,94,90,2,30.0,1,1
53836,15000,1937,15000,allow,130,70,60,2,5.0,1,1
1924,80,29370,80,allow,214,140,74,4,15.0,3,1
38785,443,33251,443,allow,5206,3832,1374,23,25.0,13,10
58039,80,32642,80,allow,318,192,126,6,21.0,4,2
49350,80,49350,80,allow,450,246,204,8,142.0,5,3
65532,53,6977,53,allow,255,102,153,2,29.0,1,1
63925,18912,65425,18912,allow,66,66,0,2,8.0,2,0
57470,6882,62846,6882,allow,528,528,0,9,1200.0,9,0
